Date,Home_Team,Away_Team,Competition,Rankings_Weight,Venue_Country
2010-05-08,Hong Kong,Kazakhstan,Men's Rugby World Cup Qualifying 2011,0.0,Hong Kong China
2010-05-10,Savai'i Samoa,Tautahi Gold,World Rugby Pacific Challenge 2010,0.0,Fiji
2010-05-10,Tau'uta Reds,Fiji Barbarians,World Rugby Pacific Challenge 2010,0.0,Fiji
2010-05-10,Upolu Samoa,Fiji Warriors,World Rugby Pacific Challenge 2010,0.0,Fiji
2010-05-13,Brazil,Uruguay,South American Championship A 2010,0.0,Chile
2010-05-14,Lebanon,Jordan,Men's Internationals 2010,0.0,United Arab Emirates
2010-05-13,Chile,Paraguay,South American Championship A 2010,0.0,Chile
2010-05-14,Upolu Samoa,Tau'uta Reds,World Rugby Pacific Challenge 2010,0.0,Fiji
2010-05-14,Fiji Warriors,Savai'i Samoa,World Rugby Pacific Challenge 2010,0.0,Fiji
2010-05-14,Tautahi Gold,Fiji Barbarians,World Rugby Pacific Challenge 2010,0.0,Fiji
2010-05-14,Arabian Gulf,Korea,Men's Rugby World Cup Qualifying 2011,0.0,United Arab Emirates
2010-05-15,Japan,Kazakhstan,Men's Rugby World Cup Qualifying 2011,0.0,Japan
2010-05-15,Slovenia,Denmark,European Nations Cup 2010,0.0,Slovenia
2010-05-15,Austria,Hungary,European Nations Cup 2010,0.0,
2010-05-16,Paraguay,Uruguay,South American Championship A 2010,0.0,Chile
2010-05-16,Chile,Brazil,South American Championship A 2010,0.0,Chile
2010-05-18,Tau'uta Reds,Savai'i Samoa,World Rugby Pacific Challenge 2010,0.0,Fiji
2010-05-18,Fiji Barbarians,Upolu Samoa,World Rugby Pacific Challenge 2010,0.0,Fiji
2010-05-18,Fiji Warriors,Tautahi Gold,World Rugby Pacific Challenge 2010,0.0,Fiji
2010-05-19,Paraguay,Brazil,South American Championship A 2010,0.0,Chile
2010-05-19,Chile,Uruguay,South American Championship A 2010,0.0,Chile
2010-05-21,Argentina,Uruguay,South American Championship A 2010,0.0,Chile
2010-05-22,Tautahi Gold,Upolu Samoa,World Rugby Pacific Challenge 2010,0.0,Fiji
2010-05-22,Fiji Barbarians,Savai'i Samoa,World Rugby Pacific Challenge 2010,0.0,Fiji
2010-05-22,Japan,Hong Kong,Men's Rugby World Cup Qualifying 2011,0.0,Japan
2010-05-22,Korea,Kazakhstan,Men's Rugby World Cup Qualifying 2011,0.0,Korea
2010-05-22,Norway,Slovenia,European Nations Cup 2010,0.0,Norway
2010-05-22,Tau'uta Reds,Fiji Warriors,World Rugby Pacific Challenge 2010,0.0,Fiji
2010-05-22,Ukraine,Romania,Men's Rugby World Cup Qualifying 2011,0.0,Ukraine
2010-05-23,Argentina,Chile,South American Championship A 2010,0.0,Chile
2010-05-29,Fiji Barbarians,Fiji Warriors,World Rugby Pacific Challenge 2010,0.0,Fiji
2010-05-30,England,Barbarians,Tour 2010,0.0,England
2010-06-02,China,India,Asian Five Nations 2010,0.0,
2010-06-02,Thailand,Philippines,Asian Five Nations 2010,0.0,
2010-06-04,Ireland,Barbarians,Tour 2010,0.0,England
2010-06-05,Australia,Fiji,Tour 2010,0.0,Australia
2010-06-05,Wales,South Africa,Tour 2010,0.0,Wales
2010-06-05,China,Thailand,Asian Five Nations 2010,0.0,
2010-06-05,Romania,Ukraine,Men's Rugby World Cup Qualifying 2011,0.0,Romania
2010-06-05,Canada,Uruguay,Churchill Cup 2010,0.0,United States
2010-06-05,India,Philippines,Asian Five Nations 2010,0.0,
2010-06-05,USA,Russia,Churchill Cup 2010,0.0,United States
2010-06-08,Australian Barbarians,England,Tour 2010,0.0,Australia
2010-06-09,Mongolia,Jordan,Asian Five Nations 2010,0.0,
2010-06-09,Guam,Iran,Asian Five Nations 2010,0.0,
2010-06-09,Pakistan,Indonesia,Asian Five Nations 2010,0.0,
2010-06-09,England Saxons,Russia,Churchill Cup 2010,0.0,United States
2010-06-09,France A,Uruguay,Churchill Cup 2010,0.0,United States
2010-06-11,Namibia,Romania,Nations Cup 2010,0.0,Romania
2010-06-11,Argentina Jaguars,Italy A,Nations Cup 2010,0.0,Romania
2010-06-11,Scotland A,Georgia,Nations Cup 2010,0.0,Romania
2010-06-12,Jordan,Uzbekistan,Asian Five Nations 2010,0.0,
2010-06-12,Fiji,Japan,World Rugby Pacific Nations Cup 2010,0.0,Fiji
2010-06-12,New Zealand,Ireland,Tour 2010,0.0,New Zealand
2010-06-12,Australia,England,Tour 2010,0.0,Australia
2010-06-12,South Africa,France,Tour 2010,0.0,South Africa
2010-06-12,Kenya,Zimbabwe,Victoria Cup 2010,0.0,Kenya
2010-06-12,Argentina,Scotland,Tour 2010,0.0,Argentina
2010-06-12,Guam,Indonesia,Asian Five Nations 2010,0.0,
2010-06-12,Finland,Israel,European Nations Cup 2010,0.0,Finland
2010-06-12,Iran,Pakistan,Asian Five Nations 2010,0.0,
2010-06-12,Samoa,Tonga,World Rugby Pacific Nations Cup 2010,0.0,Samoa
2010-06-13,USA,England Saxons,Churchill Cup 2010,0.0,United States
2010-06-13,Canada,France A,Churchill Cup 2010,0.0,United States
2010-06-15,Australian Barbarians,England,Tour 2010,0.0,Australia
2010-06-15,Italy A,Georgia,Nations Cup 2010,0.0,Romania
2010-06-15,Scotland A,Namibia,Nations Cup 2010,0.0,Romania
2010-06-15,Morocco,Cote D'Ivoire,Confederation of African Rugby Championship 2010,0.0,Tunisia
2010-06-15,Tunisia,Senegal,Confederation of African Rugby Championship 2010,0.0,Tunisia
2010-06-15,Romania,Argentina Jaguars,Nations Cup 2010,0.0,Romania
2010-06-16,Kenya A,Mauritius,Africa Cup 2010,0.0,Tanzania
2010-06-16,Uganda A,Tanzania,Africa Cup 2010,0.0,Tanzania
2010-06-18,New Zealand Maori,Ireland,Tour 2010,0.0,New Zealand
2010-06-18,Argentina A,France,Tour 2010,0.0,Argentina
2010-06-19,Kenya A,Uganda A,Africa Cup 2010,0.0,Tanzania
2010-06-19,New Zealand,Wales,Tour 2010,0.0,New Zealand
2010-06-19,Australia,England,Tour 2010,0.0,Australia
2010-06-19,South Africa,Italy,Tour 2010,0.0,South Africa
2010-06-19,Argentina,Scotland,Tour 2010,0.0,Argentina
2010-06-19,Uganda,Zimbabwe,Victoria Cup 2010,0.0,Uganda
2010-06-19,Cote D'Ivoire,Senegal,Confederation of African Rugby Championship 2010,0.0,Tunisia
2010-06-19,Tanzania,Mauritius,Africa Cup 2010,0.0,Tanzania
2010-06-19,Russia,Uruguay,Churchill Cup 2010,0.0,United States
2010-06-19,Morocco,Tunisia,Confederation of African Rugby Championship 2010,0.0,Tunisia
2010-06-19,England Saxons,Canada,Churchill Cup 2010,0.0,United States
2010-06-19,USA,France A,Churchill Cup 2010,0.0,United States
2010-06-19,Fiji,Tonga,World Rugby Pacific Nations Cup 2010,0.0,Samoa
2010-06-19,Samoa,Japan,World Rugby Pacific Nations Cup 2010,0.0,Samoa
2010-06-20,Georgia,Namibia,Nations Cup 2010,0.0,Romania
2010-06-20,Cambodia,Brunei,Asian Five Nations 2010,0.0,
2010-06-20,Argentina Jaguars,Scotland A,Nations Cup 2010,0.0,Romania
2010-06-20,Italy A,Romania,Nations Cup 2010,0.0,Romania
2010-06-23,New Zealand Maori,England,Tour 2010,0.0,New Zealand
2010-06-23,Laos,Brunei,Asian Five Nations 2010,0.0,
2010-06-26,New Zealand,Wales,Tour 2010,0.0,New Zealand
2010-06-26,Australia,Ireland,Tour 2010,0.0,Australia
2010-06-26,South Africa,Italy,Tour 2010,0.0,South Africa
2010-06-26,Argentina,France,Tour 2010,0.0,Argentina
2010-06-26,Laos,Cambodia,Asian Five Nations 2010,0.0,
2010-06-26,Japan,Tonga,World Rugby Pacific Nations Cup 2010,0.0,Samoa
2010-06-26,Fiji,Samoa,World Rugby Pacific Nations Cup 2010,0.0,Samoa
2010-06-30,Madagascar,Zambia,Confederation of African Rugby Championship 2010,0.0,Zimbabwe
2010-06-30,Zimbabwe,Botswana,Confederation of African Rugby Championship 2010,0.0,Zimbabwe
2010-07-03,Zambia,Botswana,Confederation of African Rugby Championship 2010,0.0,Zimbabwe
2010-07-03,Uganda,Kenya,Victoria Cup 2010,0.0,Uganda
2010-07-03,Zimbabwe,Madagascar,Confederation of African Rugby Championship 2010,0.0,Zimbabwe
2010-07-10,New Zealand,South Africa,Tri Nations 2010,0.0,New Zealand
2010-07-10,Kenya,Uganda,Victoria Cup 2010,0.0,Kenya
2010-07-17,New Zealand,South Africa,Tri Nations 2010,0.0,New Zealand
2010-07-17,Zimbabwe,Kenya,Victoria Cup 2010,0.0,Zimbabwe
2010-07-17,Uruguay,Kazakhstan,Men's Rugby World Cup Qualifying 2011,0.0,Uruguay
2010-07-17,Niger,Congo,Africa Cup 2010,0.0,Niger
2010-07-17,Burkina Faso,Mali,Africa Cup 2010,0.0,Niger
2010-07-17,Romania,Tunisia,Men's Rugby World Cup Qualifying 2011,0.0,Romania
2010-07-18,Ghana,Benin,Africa Cup 2010,0.0,Niger
2010-07-18,Togo,Senegal A,Africa Cup 2010,0.0,Niger
2010-07-20,Congo,Burkina Faso,Africa Cup 2010,0.0,Niger
2010-07-20,Benin,Togo,Africa Cup 2010,0.0,Niger
2010-07-21,Niger,Mali,Africa Cup 2010,0.0,Niger
2010-07-21,Ghana,Senegal A,Africa Cup 2010,0.0,Niger
2010-07-24,Mali,Ghana,Africa Cup 2010,0.0,Niger
2010-07-24,Niger,Senegal A,Africa Cup 2010,0.0,Niger
2010-07-24,Congo,Benin,Africa Cup 2010,0.0,Niger
2010-07-24,Australia,South Africa,Tri Nations 2010,0.0,Australia
2010-07-24,Burkina Faso,Togo,Africa Cup 2010,0.0,Niger
2010-07-31,Australia,New Zealand,Tri Nations 2010,0.0,Australia
2010-08-07,New Zealand,Australia,Tri Nations 2010,0.0,New Zealand
2010-08-21,South Africa,New Zealand,Tri Nations 2010,0.0,South Africa
2010-08-28,South Africa,Australia,Tri Nations 2010,0.0,South Africa
2010-09-04,South Africa,Australia,Tri Nations 2010,0.0,South Africa
2010-09-11,Australia,New Zealand,Tri Nations 2010,0.0,Australia
2010-10-02,Switzerland,Armenia,European Nations Cup 2012,0.0,
2010-10-05,USA Select XV,Tonga A,Americas Rugby Championship 2010,0.0,Argentina
2010-10-05,Argentina Jaguars,Canada Select XV,Americas Rugby Championship 2010,0.0,Argentina
2010-10-09,Czech Republic,Poland,European Nations Cup 2012,0.0,Czech Republic
2010-10-09,Finland,Luxembourg,European Nations Cup 2012,0.0,Finland
2010-10-09,Andorra,Slovenia,European Nations Cup 2012,0.0,
2010-10-10,Canada Select XV,Tonga A,Americas Rugby Championship 2010,0.0,Argentina
2010-10-10,Argentina Jaguars,USA Select XV,Americas Rugby Championship 2010,0.0,Argentina
2010-10-15,Canada Select XV,USA Select XV,Americas Rugby Championship 2010,0.0,Argentina
2010-10-15,Argentina Jaguars,Tonga A,Americas Rugby Championship 2010,0.0,Argentina
2010-10-16,Hungary,Austria,European Nations Cup 2012,0.0,
2010-10-16,Norway,Denmark,European Nations Cup 2012,0.0,Norway
2010-10-23,Russia,Argentina Jaguars,Tour 2010,0.0,Russian Federation
2010-10-23,Croatia,Sweden,European Nations Cup 2012,0.0,Croatia
2010-10-23,Slovenia,Serbia,European Nations Cup 2012,0.0,Slovenia
2010-10-24,Colombia,Costa Rica,South American Championship B 2010,0.0,Colombia
2010-10-25,Bosnia & Herzegovina,Slovakia,European Nations Cup 2012,0.0,Bosnia and Herzegovina
2010-10-26,Algeria,Libya,CAR Development Trophy 2010,0.0,Egypt
2010-10-26,Egypt,Mauritania,CAR Development Trophy 2010,0.0,Egypt
2010-10-25,Venezuela,Peru,South American Championship B 2010,0.0,Colombia
2010-10-27,Venezuela,Costa Rica,South American Championship B 2010,0.0,Colombia
2010-10-27,Colombia,Peru,South American Championship B 2010,0.0,Colombia
2010-10-28,Azerbaijan,Slovakia,European Nations Cup 2012,0.0,Bosnia and Herzegovina
2010-10-29,Egypt,Algeria,CAR Development Trophy 2010,0.0,Egypt
2010-10-29,Libya,Mauritania,CAR Development Trophy 2010,0.0,Egypt
2010-10-30,Japan,Samoa,Tour 2010,0.0,Japan
2010-10-30,Australia,New Zealand,Bledisloe Cup 2010,0.0,Hong Kong China
2010-10-30,Russia,Argentina Jaguars,Tour 2010,0.0,Russian Federation
2010-10-30,Lithuania,Malta,European Nations Cup 2012,0.0,
2010-10-30,Israel,Hungary,European Nations Cup 2012,0.0,Israel
2010-10-30,Latvia,Croatia,European Nations Cup 2012,0.0,
2010-10-30,Colombia,Venezuela,South American Championship B 2010,0.0,Colombia
2010-10-30,Peru,Costa Rica,South American Championship B 2010,0.0,Colombia
2010-10-31,Bosnia & Herzegovina,Azerbaijan,European Nations Cup 2012,0.0,Bosnia and Herzegovina
2010-11-06,Sweden,Lithuania,European Nations Cup 2012,0.0,Sweden
2010-11-06,Denmark,Hungary,European Nations Cup 2012,0.0,Denmark
2010-11-06,Bulgaria,Greece,European Nations Cup 2012,0.0,Bulgaria
2010-11-06,Malta,Latvia,European Nations Cup 2012,0.0,Malta
2010-11-06,Wales,Australia,Tour 2010,0.0,Wales
2010-11-06,Belgium,Canada,Tour 2010,0.0,Belgium
2010-11-06,England,New Zealand,Tour 2010,0.0,England
2010-11-06,Austria,Norway,European Nations Cup 2012,0.0,Austria
2010-11-06,Ireland,South Africa,Tour 2010,0.0,Ireland
2010-11-09,Saracens,USA,Tour 2010,0.0,England
2010-11-09,Connacht,Samoa,Tour 2010,0.0,Ireland
2010-11-09,Leicester Tigers,Australia,Tour 2010,0.0,England
2010-11-13,Armenia,Andorra,European Nations Cup 2012,0.0,
2010-11-13,Czech Republic,Belgium,European Nations Cup 2012,0.0,Czech Republic
2010-11-13,Luxembourg,Bulgaria,European Nations Cup 2012,0.0,Luxembourg
2010-11-13,Italy,Argentina,Tour 2010,0.0,Italy
2010-11-13,Ireland,Samoa,Tour 2010,0.0,Ireland
2010-11-13,England,Australia,Tour 2010,0.0,England
2010-11-13,Wales,South Africa,Tour 2010,0.0,Wales
2010-11-13,Spain,Canada,Tour 2010,0.0,Spain
2010-11-13,Portugal,USA,Tour 2010,0.0,Portugal
2010-11-13,France,Fiji,Tour 2010,0.0,France
2010-11-13,Poland,Moldova,European Nations Cup 2012,0.0,
2010-11-13,Scotland,New Zealand,Tour 2010,0.0,Scotland
2010-11-13,Uruguay,Romania,Men's Rugby World Cup Qualifying 2011,0.0,Uruguay
2010-11-16,Munster,Australia,Tour 2010,0.0,Ireland
2010-11-17,Combined Services,Samoa,Tour 2010,0.0,England
2010-11-19,Italy A,Tonga,Tour 2010,0.0,Italy
2010-11-19,Scotland A,USA,Tour 2010,0.0,Scotland
2010-11-19,Wales,Fiji,Tour 2010,0.0,Wales
2010-11-20,Georgia,Canada,Tour 2010,0.0,Georgia
2010-11-20,Greece,Cyprus,European Nations Cup 2012,0.0,
2010-11-20,Serbia,Switzerland,European Nations Cup 2012,0.0,Serbia
2010-11-20,Germany,Poland,European Nations Cup 2012,0.0,Germany
2010-11-20,Netherlands,Czech Republic,European Nations Cup 2012,0.0,Netherlands
2010-11-20,Italy,Australia,Tour 2010,0.0,Italy
2010-11-20,England,Samoa,Tour 2010,0.0,England
2010-11-20,Scotland,South Africa,Tour 2010,0.0,Scotland
2010-11-20,Portugal,Namibia,Tour 2010,0.0,Portugal
2010-11-20,Ireland,New Zealand,Tour 2010,0.0,Ireland
2010-11-20,France,Argentina,Tour 2010,0.0,France
2010-11-24,Rwanda,Burundi,Africa Cup 2010,0.0,Rwanda
2010-11-26,Burundi,Rwanda,Africa Cup 2010,0.0,Rwanda
2010-11-26,French Barbarians,Tonga,Tour 2010,0.0,France
2010-11-27,Georgia,USA,Tour 2010,0.0,Georgia
2010-11-27,Netherlands,Germany,European Nations Cup 2012,0.0,Netherlands
2010-11-27,Italy,Fiji,Tour 2010,0.0,Italy
2010-11-27,Scotland,Samoa,Tour 2010,0.0,Scotland
2010-11-27,England,South Africa,Tour 2010,0.0,England
2010-11-27,Spain,Namibia,Tour 2010,0.0,Spain
2010-11-27,Portugal,Canada,Tour 2010,0.0,Portugal
2010-11-27,Romania,Uruguay,Men's Rugby World Cup Qualifying 2011,0.0,Romania
2010-11-27,Wales,New Zealand,Tour 2010,0.0,Wales
2010-11-27,France,Australia,Tour 2010,0.0,France
2010-11-28,Ireland,Argentina,Tour 2010,0.0,Ireland
2010-12-04,Barbarians,South Africa,Tour 2010,0.0,England
2010-12-11,Germany,Hong Kong,Tour 2010,0.0,Germany
2010-12-15,Norway,Hong Kong,Tour 2010,0.0,
2011-02-13,Ireland,France,Six Nations 2010,0.0,Ireland
2011-02-19,Junior Waratahs,Tonga A,World Rugby Pacific Challenge 2011,0.0,Australia
2011-02-19,Brumby Runners,Samoa A,World Rugby Pacific Challenge 2011,0.0,Australia
2011-02-19,QAS Reds Academy,Fiji Warriors,World Rugby Pacific Challenge 2011,0.0,Australia
2011-02-19,Andorra,Serbia,European Nations Cup 2012,0.0,
2011-02-23,Junior Waratahs,Fiji Warriors,World Rugby Pacific Challenge 2011,0.0,Australia
2011-02-23,Brumby Runners,Tonga A,World Rugby Pacific Challenge 2011,0.0,Australia
2011-02-23,QAS Reds Academy,Samoa A,World Rugby Pacific Challenge 2011,0.0,Australia
2011-02-26,Romania,Russia,European Nations Cup 2012,0.0,Romania
2011-02-26,Italy,Wales,Six Nations 2010,0.0,Italy
2011-02-26,Spain,Ukraine,European Nations Cup 2012,0.0,Spain
2011-02-26,Portugal,Georgia,European Nations Cup 2012,0.0,Portugal
2011-02-26,England,France,Six Nations 2010,0.0,England
2011-02-27,Scotland,Ireland,Six Nations 2010,0.0,Scotland
2011-02-28,Junior Waratahs,Samoa A,World Rugby Pacific Challenge 2011,0.0,Australia
2011-02-28,QAS Reds Academy,Tonga A,World Rugby Pacific Challenge 2011,0.0,Australia
2011-02-28,Brumby Runners,Fiji Warriors,World Rugby Pacific Challenge 2011,0.0,Australia
2011-03-04,Crusaders Knights,Fiji Warriors,World Rugby Pacific Challenge 2011,0.0,New Zealand
2011-03-04,Chiefs Development XV,Tonga A,World Rugby Pacific Challenge 2011,0.0,New Zealand
2011-03-05,Hurricanes Development XV,Samoa A,World Rugby Pacific Challenge 2011,0.0,New Zealand
2011-03-09,Chiefs Development XV,Fiji Warriors,World Rugby Pacific Challenge 2011,0.0,New Zealand
2011-03-09,Crusaders Knights,Samoa A,World Rugby Pacific Challenge 2011,0.0,New Zealand
2011-03-09,Hurricanes Development XV,Tonga A,World Rugby Pacific Challenge 2011,0.0,New Zealand
2011-03-12,Georgia,Romania,European Nations Cup 2012,0.0,Georgia
2011-03-12,Cyprus,Bulgaria,European Nations Cup 2012,0.0,Cyprus
2011-03-12,Ukraine,Russia,European Nations Cup 2012,0.0,Ukraine
2011-03-12,Germany,Czech Republic,European Nations Cup 2012,0.0,Germany
2011-03-12,Italy,France,Six Nations 2010,0.0,Italy
2011-03-12,Spain,Portugal,European Nations Cup 2012,0.0,Spain
2011-03-12,Wales,Ireland,Six Nations 2010,0.0,Wales
2011-03-12,Poland,Belgium,European Nations Cup 2012,0.0,
2011-03-13,England,Scotland,Six Nations 2010,0.0,England
2011-03-14,Hurricanes Development XV,Fiji Warriors,World Rugby Pacific Challenge 2011,0.0,New Zealand
2011-03-14,Crusaders Knights,Tonga A,World Rugby Pacific Challenge 2011,0.0,New Zealand
2011-03-14,Chiefs Development XV,Samoa A,World Rugby Pacific Challenge 2011,0.0,New Zealand
2011-03-19,Fiji Warriors,Tonga A,World Rugby Pacific Challenge 2011,0.0,Fiji
2011-03-19,Russia,Georgia,European Nations Cup 2012,0.0,Russian Federation
2011-03-19,Moldova,Czech Republic,European Nations Cup 2012,0.0,"Moldova, Republic of"
2011-03-19,Belgium,Germany,European Nations Cup 2012,0.0,Belgium
2011-03-19,Switzerland,Andorra,European Nations Cup 2012,0.0,
2011-03-19,Scotland,Italy,Six Nations 2010,0.0,Scotland
2011-03-19,Romania,Spain,European Nations Cup 2012,0.0,Romania
2011-03-19,Portugal,Ukraine,European Nations Cup 2012,0.0,Portugal
2011-03-19,Ireland,England,Six Nations 2010,0.0,Ireland
2011-03-19,France,Wales,Six Nations 2010,0.0,France
2011-03-22,Fiji Warriors,Samoa A,World Rugby Pacific Challenge 2011,0.0,Fiji
2011-03-26,Tonga A,Samoa A,World Rugby Pacific Challenge 2011,0.0,Fiji
2011-03-26,Cyprus,Finland,European Nations Cup 2012,0.0,Cyprus
2011-04-02,Greece,Luxembourg,European Nations Cup 2012,0.0,Greece
2011-04-02,Moldova,Germany,European Nations Cup 2012,0.0,"Moldova, Republic of"
2011-04-09,Sweden,Denmark,Viking Tri Nations 2011,0.0,Sweden
2011-04-09,Israel,Austria,European Nations Cup 2012,0.0,Israel
2011-04-09,St Vincent and the Grenadines,British Virgin Islands,North America Caribbean Rugby Association Championship 2011,0.0,St Vincent and the Grenadines
2011-04-09,Mexico,USA South,North America Caribbean Rugby Association Championship 2011,0.0,Mexico
2011-04-16,Poland,Netherlands,European Nations Cup 2012,0.0,Poland
2011-04-16,Barbados,St Lucia,North America Caribbean Rugby Association Championship 2011,0.0,Barbados
2011-04-16,Cayman Islands,Jamaica,North America Caribbean Rugby Association Championship 2011,0.0,Cayman Islands
2011-04-23,Sri Lanka,United Arab Emirates,Asian Five Nations 2011,0.0,Sri Lanka
2011-04-23,Kazakhstan,Hong Kong,Asian Five Nations 2011,0.0,Kazakhstan
2011-04-23,Netherlands,Belgium,European Nations Cup 2012,0.0,Netherlands
2011-04-29,United Arab Emirates,Kazakhstan,Asian Five Nations 2011,0.0,United Arab Emirates
2011-04-30,Lithuania,Latvia,European Nations Cup 2012,0.0,Lithuania
2011-04-30,Hong Kong,Japan,Asian Five Nations 2011,0.0,Hong Kong China
2011-04-30,Moldova,Netherlands,European Nations Cup 2012,0.0,"Moldova, Republic of"
2011-04-30,Malta,Croatia,European Nations Cup 2012,0.0,
2011-04-30,Slovenia,Switzerland,European Nations Cup 2012,0.0,Slovenia
2011-04-30,Bermuda,Bahamas,North America Caribbean Rugby Association Championship 2011,0.0,Bermuda
2011-04-30,British Virgin Islands,Barbados,North America Caribbean Rugby Association Championship 2011,0.0,British Virgin Islands
2011-05-04,Chinese Taipei,Iran,Asian Five Nations 2011,0.0,Thailand
2011-05-04,India,Thailand,Asian Five Nations 2011,0.0,Thailand
2011-05-07,Serbia,Armenia,European Nations Cup 2012,0.0,
2011-05-07,Iran,India,Asian Five Nations 2011,0.0,Thailand
2011-05-07,Chinese Taipei,Thailand,Asian Five Nations 2011,0.0,Thailand
2011-05-07,Sri Lanka,Hong Kong,Asian Five Nations 2011,0.0,Sri Lanka
2011-05-07,Kazakhstan,Japan,Asian Five Nations 2011,0.0,Thailand
2011-05-07,Denmark,Israel,European Nations Cup 2012,0.0,Denmark
2011-05-07,Sweden,Malta,European Nations Cup 2012,0.0,
2011-05-07,Croatia,Lithuania,European Nations Cup 2012,0.0,Croatia
2011-05-07,Luxembourg,Cyprus,European Nations Cup 2012,0.0,Luxembourg
2011-05-11,Uzbekistan,Lebanon,Asian Five Nations 2011,0.0,United Arab Emirates
2011-05-11,Jordan,Qatar,Asian Five Nations 2011,0.0,United Arab Emirates
